m2_dpo.owl,m1_nbo.owl,m1_dpo.owl,m2_nbo.owl,definition,m2_union,definition_name,m1_union,
,,,1,"BFO_0000056 some 
    (learning behavior
     and (has_quality some continuant))",2,http://ebi.ac.uk#Pattern294,0,
,,,2,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (increased frequency
         and (qualifier some Thing)
         and (towards some liquid consumption))))",3,http://ebi.ac.uk#Pattern293,0,
4,,,,"quality
 and (inheres_in some circadian behavior)
 and (qualifier some quality)",5,http://ebi.ac.uk#Pattern292,0,
2,,,,"quality
 and (inheres_in some cognition)
 and (qualifier some abnormal)",3,http://ebi.ac.uk#Pattern291,0,
,,,2,"cognitive behavior
 and (is_about some emotional behavior)",3,http://ebi.ac.uk#Pattern290,0,
,,,1,"BFO_0000056 some 
    (regulation of saccharin preference behavior
     and (has_quality some physical quality of a process))",2,http://ebi.ac.uk#Pattern289,0,
,3,,3,"hallucination
 and (by_means some UBERON_0001032)",4,http://ebi.ac.uk#Pattern288,3,
,,,,"BFO_0000056 some 
    ((regulation of drinking behavior
     and (regulates some feeding behavior)
     and (has-input some 
        (PATO_0000145
         and (has_quality some PATO_0001563))))
     and (qualifier some PATO_0001333))",1,http://ebi.ac.uk#Pattern287,1,
,1,,1,"has_quality some 
    (PATO_0002360
     and (towards some memory loss behavior))",2,http://ebi.ac.uk#Pattern286,1,
,,,1,"behavior
 and (has_participant some CHEBI_18723)",2,http://ebi.ac.uk#Pattern299,0,
,,,11,"BFO_0000056 some 
    (somatic sensation related behavior
     and (has_quality some Thing))",12,http://ebi.ac.uk#Pattern298,0,
1,,1,,"dependent continuant
 and (inheres_in some oviposition)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern297,1,
,,,1,"BFO_0000056 some 
    (single-multicellular organism process
     and (has_quality some frequency))",2,http://ebi.ac.uk#Pattern274,0,
,,,2,"BFO_0000056 some 
    (regulation of drinking preference behavior
     and (has_quality some 
        (increased quality
         and (towards some liquid consumption))))",3,http://ebi.ac.uk#Pattern273,0,
1,,,,"quality
 and (inheres_in some adult behavior)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern272,0,
,35,,35,"BFO_0000056 some 
    (kinesthetic behavior
     and (has_quality some dependent continuant))",36,http://ebi.ac.uk#Pattern271,1,
,1,,1,"learning behavior
 and (in_response_to some emotional conditioning)",2,http://ebi.ac.uk#Pattern270,1,
4,,,,"quality
 and (inheres_in some locomotory behavior)
 and (qualifier some continuant)",5,http://ebi.ac.uk#Pattern1219,0,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (regulates some (has-input some 
        (PATO_0000145
         and (has_quality some physical quality)))))",2,http://ebi.ac.uk#Pattern1218,0,
,2,,2,regulates some behavioral response to addictive substance,3,http://ebi.ac.uk#Pattern1211,2,
2,,,,"quality
 and (inheres_in some 
    (mating behavior or (response to stimulus
     and (part_of some mating behavior))))
 and (qualifier some abnormal)",3,http://ebi.ac.uk#Pattern1210,0,
,,,2,"Thing
 and (in_response_to some PATO_0001305)",3,http://ebi.ac.uk#Pattern269,0,
,,,1,"BFO_0000056 some 
    (regulation of consumption behavior
     and (has_quality some 
        (increased frequency
         and (qualifier some PATO_0001863)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern1213,0,
,2,,2,"cognitive behavior
 and (is_about some shape)",3,http://ebi.ac.uk#Pattern268,1,
,1,,1,"classical conditioning
 and (is_about some eyelid movement)",2,http://ebi.ac.uk#Pattern1212,1,
,,,1,"BFO_0000056 some 
    (mobbing calling
     and (has_quality some Thing))",2,http://ebi.ac.uk#Pattern267,0,
,3,,3,"BFO_0000056 some 
    (GO_0042747
     and (has_quality some dependent continuant))",4,http://ebi.ac.uk#Pattern1215,1,
1,,,,"uncoordinated
 and (inheres_in some Thing)",2,http://ebi.ac.uk#Pattern266,0,
,,,1,"regulation of eating preference behavior
 and (has_participant some CHEBI_37947)",2,http://ebi.ac.uk#Pattern1214,0,
,,,1,"BFO_0000056 some 
    (behavioral control of urination
     and (has_quality some continuant))",2,http://ebi.ac.uk#Pattern265,0,
,,,2,"behavior
 and (is_about some shape)",3,http://ebi.ac.uk#Pattern1217,0,
3,,3,,"quality
 and (inheres_in some 
    (mating behavior or (behavior
     and (part_of some mating behavior))))
 and (qualifier some abnormal)",4,http://ebi.ac.uk#Pattern264,1,
,,,1,"Thing
 and (is_about some PATO_0001595)",2,http://ebi.ac.uk#Pattern1216,0,
,1,,1,"food consumption
 and (has_participant some CHEBI_55505)",2,http://ebi.ac.uk#Pattern285,1,
,55,,55,"BFO_0000056 some 
    (rhythmic behavior
     and (has_quality some dependent continuant))",56,http://ebi.ac.uk#Pattern284,1,
1,,,,"quality
 and (inheres_in some male courtship behavior, veined wing generated song production)
 and (qualifier some quality)",2,http://ebi.ac.uk#Pattern283,0,
,,,6,"BFO_0000056 some 
    (Thing
     and (has_quality some 
        (frequency
         and (towards some liquid consumption))))",7,http://ebi.ac.uk#Pattern282,0,
1,,,,"quality
 and (inheres_in some locomotor rhythm)
 and (qualifier some qualitative)",2,http://ebi.ac.uk#Pattern281,0,
,,,7,"learning behavior
 and (is_about some behavior)",8,http://ebi.ac.uk#Pattern280,0,
,,,27,"sensation behavior
 and (in_response_to some Thing)",28,http://ebi.ac.uk#Pattern1208,0,
,,,10,"BFO_0000056 some 
    (emission behavior
     and (has_quality some Thing))",11,http://ebi.ac.uk#Pattern1207,0,
,,,1,"BFO_0000056 some 
    (GO_0042756
     and (has-input some 
        (PATO_0000145
         and (has_quality some Thing))))",2,http://ebi.ac.uk#Pattern1209,0,
1,,,,"quality
 and (inheres_in some grooming behavior)
 and (qualifier some continuant)",2,http://ebi.ac.uk#Pattern1200,0,
,1,,1,"behavioral control of external secretion
 and (by_means some UBERON_0001817)
 and (is_about some GO_0050878)",2,http://ebi.ac.uk#Pattern1202,1,
,,,3,"BFO_0000056 some 
    (biological_process
     and (has_quality some PATO_0001309))",4,http://ebi.ac.uk#Pattern279,0,
,,,1,"Thing
 and (is_about some color)",2,http://ebi.ac.uk#Pattern1201,0,
,,,1,"BFO_0000056 some 
    (behavior
     and (has_quality some 
        (increased frequency
         and (qualifier some PATO_0001863)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern278,0,
,,,20,"BFO_0000056 some 
    (multicellular organismal movement
     and (has_quality some quality))",21,http://ebi.ac.uk#Pattern1204,0,
1,,,,"Thing
 and (inheres_in some jump response)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern277,0,
,,,1,"BFO_0000056 some 
    (reproductive process
     and (has_quality some frequency))",2,http://ebi.ac.uk#Pattern1203,0,
,2,,2,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (frequency
         and (qualifier some PATO_0001863)
         and (towards some liquid consumption))))",3,http://ebi.ac.uk#Pattern276,2,
,,,1,"nociceptive behavior
 and (in_response_to some GO_0009593)",2,http://ebi.ac.uk#Pattern1206,0,
,,,5,"BFO_0000056 some 
    (regulation of behavior
     and (has_quality some 
        (increased rate
         and (towards some liquid consumption))))",6,http://ebi.ac.uk#Pattern275,0,
2,,,,"quality
 and (inheres_in some 
    (courtship behavior or (behavior
     and (part_of some courtship behavior))))
 and (qualifier some Thing)",3,http://ebi.ac.uk#Pattern1205,0,
1,,,,"quality
 and (inheres_in some grooming behavior)
 and (qualifier some Thing)",2,http://ebi.ac.uk#Pattern252,0,
,1,,1,"BFO_0000056 some 
    (mobbing calling
     and (has_quality some dependent continuant))",2,http://ebi.ac.uk#Pattern494,1,
,,,1,"Thing
 and (in_response_to some PATO_0001306)",2,http://ebi.ac.uk#Pattern251,0,
,,,1,"behavioral control of excretion
 and (by_means some UBERON_0001256)
 and (is_about some system process)",2,http://ebi.ac.uk#Pattern493,0,
,13,,13,"BFO_0000056 some 
    (reproductive behavior
     and (has_quality some dependent continuant))",14,http://ebi.ac.uk#Pattern250,1,
,,,16,"BFO_0000056 some 
    (sensation behavior
     and (has_quality some Thing))",17,http://ebi.ac.uk#Pattern492,0,
,,,1,"thermosensory behavior
 and (in_response_to some decreased quality)",2,http://ebi.ac.uk#Pattern491,0,
,,,1,"thermosensory behavior
 and (in_response_to some increased quality)",2,http://ebi.ac.uk#Pattern490,0,
,5,,5,"BFO_0000056 some 
    (motor coordination
     and (has_quality some dependent continuant))",6,http://ebi.ac.uk#Pattern249,1,
,,,1,"BFO_0000056 some 
    (aggressive behavior by means
     and (has_quality some quality))",2,http://ebi.ac.uk#Pattern248,0,
1,,,,"behavioral quality
 and (inheres_in some organism)",2,http://ebi.ac.uk#Pattern247,0,
,1,,1,"thermosensory behavior
 and (in_response_to some decreased object quality)",2,http://ebi.ac.uk#Pattern489,1,
,,,114,"BFO_0000056 some 
    (biological_process
     and (has_quality some quality))",115,http://ebi.ac.uk#Pattern246,0,
,,,1,"BFO_0000056 some 
    ((regulation of drinking behavior
     and (regulates some liquid consumption)
     and (has-input some 
        (PATO_0000145
         and (has_quality some PATO_0001563))))
     and (qualifier some temporal distribution quality))",2,http://ebi.ac.uk#Pattern488,0,
,,,2,"sleeping behavior
 and (is_about some circadian rhythm)",3,http://ebi.ac.uk#Pattern245,0,
,,,1,"BFO_0000056 some 
    ((regulation of drinking behavior
     and (regulates some liquid consumption)
     and (has-input some 
        (PATO_0000145
         and (has_quality some PATO_0001563))))
     and (qualifier some process quality))",2,http://ebi.ac.uk#Pattern487,0,
,,,2,"sleeping behavior
 and (is_about some rhythmic behavior)",3,http://ebi.ac.uk#Pattern244,0,
,,,4,"Thing
 and (is_about some size)",5,http://ebi.ac.uk#Pattern486,0,
,,,1,"Thing
 and (is_about some jaw movement)",2,http://ebi.ac.uk#Pattern243,0,
,,,176,"BFO_0000056 some 
    (Thing
     and (has_quality some quality))",177,http://ebi.ac.uk#Pattern485,0,
,,,1,"Thing
 and (is_about some blinking)",2,http://ebi.ac.uk#Pattern242,0,
,1,,1,"BFO_0000056 some 
    ((regulation of drinking behavior
     and (regulates some liquid consumption)
     and (has-input some 
        (PATO_0000145
         and (has_quality some PATO_0001563))))
     and (qualifier some PATO_0002324))",2,http://ebi.ac.uk#Pattern484,1,
4,,,,"quality
 and (inheres_in some locomotory behavior)
 and (qualifier some quality)",5,http://ebi.ac.uk#Pattern263,0,
,,,16,"BFO_0000056 some 
    (rhythmic process
     and (has_quality some quality))",17,http://ebi.ac.uk#Pattern262,0,
16,,,,"quality
 and (inheres_in some single-organism process)
 and (qualifier some abnormal)",17,http://ebi.ac.uk#Pattern261,0,
2,,,,"quality
 and (inheres_in some 
    (courtship behavior or (behavior
     and (part_of some courtship behavior))))
 and (qualifier some quality)",3,http://ebi.ac.uk#Pattern260,0,
1,,,,"Thing
 and (inheres_in some feeding behavior)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern259,0,
,2,,2,"BFO_0000056 some 
    (single-organism reproductive behavior
     and (has_quality some quality))",3,http://ebi.ac.uk#Pattern258,2,
1,,1,,"dependent continuant
 and (inheres_in some grooming behavior)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern257,1,
5,,,,"quality
 and (inheres_in some multicellular organismal reproductive process)
 and (qualifier some abnormal)",6,http://ebi.ac.uk#Pattern499,0,
,,,1,"BFO_0000056 some 
    (sleep
     and (has_quality some PATO_0001309))",2,http://ebi.ac.uk#Pattern256,0,
,,,3,"BFO_0000056 some 
    (biological_process
     and (has_quality some frequency))",4,http://ebi.ac.uk#Pattern498,0,
3,,3,,"quality
 and (inheres_in some circadian behavior)
 and (qualifier some abnormal)",4,http://ebi.ac.uk#Pattern255,3,
,1,,1,"BFO_0000056 some 
    (female sexual activity
     and (has_quality some dependent continuant))",2,http://ebi.ac.uk#Pattern497,1,
1,,1,,"quality
 and (inheres_in some locomotor rhythm)
 and (qualifier some deviation(from_normal))",2,http://ebi.ac.uk#Pattern254,1,
,1,,1,"thermosensory behavior
 and (in_response_to some increased object quality)",2,http://ebi.ac.uk#Pattern496,1,
,,,15,"BFO_0000056 some 
    (behavior
     and (has_quality some rate))",16,http://ebi.ac.uk#Pattern253,0,
,1,,1,"BFO_0000056 some 
    (behavioral control of external secretion
     and (has_quality some quality))",2,http://ebi.ac.uk#Pattern495,1,
2,,,,"Thing
 and (inheres_in some visual behavior)
 and (qualifier some abnormal)",3,http://ebi.ac.uk#Pattern230,0,
,1,,1,"BFO_0000056 some 
    (circadian behavior
     and (has_quality some frequency))",2,http://ebi.ac.uk#Pattern472,1,
1,,,,"physical object quality
 and (inheres_in some organism)",2,http://ebi.ac.uk#Pattern471,0,
,,,1,"associative learning behavior
 and (is_about some sensation behavior)",2,http://ebi.ac.uk#Pattern470,0,
4,,,,"quality
 and (inheres_in some rhythmic process)
 and (qualifier some abnormal)",5,http://ebi.ac.uk#Pattern229,0,
,,,1,"BFO_0000056 some 
    (behavior
     and (has-input some 
        (PATO_0000145
         and (has_quality some PATO_0001563))))",2,http://ebi.ac.uk#Pattern228,0,
,,,18,"sensation behavior
 and (in_response_to some biological_process)",19,http://ebi.ac.uk#Pattern227,0,
,1,,1,"vestibular behavior
 and (has_participant some UBERON_0002101)",2,http://ebi.ac.uk#Pattern469,1,
,1,,1,"BFO_0000056 some 
    (GO_0060273
     and (has_quality some dependent continuant))",2,http://ebi.ac.uk#Pattern226,1,
,10,,10,"BFO_0000056 some 
    (GO_0042755
     and (has_quality some dependent continuant))",11,http://ebi.ac.uk#Pattern468,1,
,,,1,"behavior
 and (in_response_to some nicotine consumption)",2,http://ebi.ac.uk#Pattern225,0,
1,,,,"uncoordinated
 and (inheres_in some anatomical structure)",2,http://ebi.ac.uk#Pattern467,0,
,1,,1,"BFO_0000056 some 
    (GO_0007638
     and (has_quality some quality))",2,http://ebi.ac.uk#Pattern224,1,
1,,,,"quality
 and (inheres_in some feeding behavior)
 and (qualifier some quality)",2,http://ebi.ac.uk#Pattern466,0,
4,,,,"quality
 and (inheres_in some locomotory behavior)
 and (qualifier some Thing)",5,http://ebi.ac.uk#Pattern223,0,
4,,,,"quality
 and (inheres_in some circadian behavior)
 and (qualifier some dependent continuant)",5,http://ebi.ac.uk#Pattern465,0,
,1,,1,"BFO_0000056 some 
    (mobbing behavior
     and (has_quality some quality))",2,http://ebi.ac.uk#Pattern222,1,
1,,,,"continuant
 and (inheres_in some hatching behavior)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern464,0,
,,,3,"BFO_0000056 some 
    (behavior
     and (has_quality some frequency))",4,http://ebi.ac.uk#Pattern221,0,
,,,1,"Thing
 and (has_participant some UBERON_0002101)",2,http://ebi.ac.uk#Pattern463,0,
,,,1,"learning behavior
 and (is_about some blinking)",2,http://ebi.ac.uk#Pattern220,0,
23,,23,,"quality
 and (inheres_in some behavior)
 and (qualifier some abnormal)",24,http://ebi.ac.uk#Pattern462,4,
5,,,,"quality
 and (inheres_in some 
    (reproductive process or (behavior
     and (part_of some reproductive process))))
 and (qualifier some abnormal)",6,http://ebi.ac.uk#Pattern241,0,
1,,,,"quality
 and (inheres_in some grooming behavior)
 and (qualifier some dependent continuant)",2,http://ebi.ac.uk#Pattern483,0,
,,,1,"cognitive behavior
 and (is_about some PATO_0000040)",2,http://ebi.ac.uk#Pattern240,0,
24,,,,"quality
 and (inheres_in some behavior)
 and (qualifier some quality)",25,http://ebi.ac.uk#Pattern482,0,
3,,,,"quality
 and (inheres_in some chemosensory behavior)
 and (qualifier some quality)",4,http://ebi.ac.uk#Pattern481,0,
,,,1,"perception behavior by means
 and (has_participant some UBERON_0002101)",2,http://ebi.ac.uk#Pattern480,0,
,,,1,"Thing
 and (is_about some language communication behavior)",2,http://ebi.ac.uk#Pattern239,0,
,,,1,"sensation behavior
 and (has_participant some UBERON_0002101)",2,http://ebi.ac.uk#Pattern238,0,
,2,,2,"BFO_0000056 some 
    (single-multicellular organism process
     and (has_quality some PATO_0001309))",3,http://ebi.ac.uk#Pattern237,1,
,,,2,"feeding behavior
 and (has_participant some CHEBI_24432)",3,http://ebi.ac.uk#Pattern479,0,
1,,1,,"dependent continuant
 and (inheres_in some male courtship behavior, veined wing generated song production)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern236,1,
,1,,1,"behavioral control of excretion
 and (by_means some UBERON_0001256)
 and (is_about some GO_0003014)",2,http://ebi.ac.uk#Pattern478,1,
,,,2,"BFO_0000056 some 
    (behavioral control of external secretion
     and (has_quality some continuant))",3,http://ebi.ac.uk#Pattern235,0,
,1,,1,"BFO_0000056 some 
    (mating
     and (has_quality some quality))",2,http://ebi.ac.uk#Pattern477,1,
4,,,,"continuant
 and (inheres_in some 
    (mating behavior or (behavior
     and (part_of some mating behavior))))
 and (qualifier some abnormal)",5,http://ebi.ac.uk#Pattern234,0,
,,,10,"cutaneous sensation behavior
 and (in_response_to some Thing)",11,http://ebi.ac.uk#Pattern476,0,
,15,,15,"BFO_0000056 some 
    (circadian behavior
     and (has_quality some quality))",16,http://ebi.ac.uk#Pattern233,1,
4,,,,"quality
 and (inheres_in some circadian behavior)
 and (qualifier some Thing)",5,http://ebi.ac.uk#Pattern475,0,
,1,,1,"GO_0002118
 and (by_means some agonistic behavior)",2,http://ebi.ac.uk#Pattern232,1,
,1,,1,"BFO_0000056 some 
    (male sexual activity
     and (has_quality some dependent continuant))",2,http://ebi.ac.uk#Pattern474,1,
4,,4,,"dependent continuant
 and (inheres_in some locomotory behavior)
 and (qualifier some abnormal)",5,http://ebi.ac.uk#Pattern231,1,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (decreased process quality
         and (qualifier some PATO_0001863)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern473,0,
,,,3,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (decreased quality
         and (towards some liquid consumption))))",4,http://ebi.ac.uk#Pattern450,0,
,,,9,"cognitive behavior
 and (in_response_to some (has_role some CHEBI_35703))",10,http://ebi.ac.uk#Pattern692,0,
,,,1,"BFO_0000056 some 
    (regulation of behavior
     and (has_quality some 
        (increased frequency
         and (qualifier some PATO_0001333)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern691,0,
,,,1,"BFO_0000056 some 
    (GO_0008050
     and (has_quality some Thing))",2,http://ebi.ac.uk#Pattern690,0,
,,,1,"learning behavior
 and (is_about some jaw movement)",2,http://ebi.ac.uk#Pattern209,0,
10,,,,"quality
 and (inheres_in some 
    (occurrent or (behavior
     and (part_of some occurrent))))
 and (qualifier some abnormal)",11,http://ebi.ac.uk#Pattern208,0,
,,,2,"BFO_0000056 some 
    (single-organism behavior
     and (has_quality some PATO_0001309))",3,http://ebi.ac.uk#Pattern207,0,
,,,1,"cognitive behavior
 and (in_response_to some emotional conditioning)",2,http://ebi.ac.uk#Pattern449,0,
,,,11,"BFO_0000056 some 
    (regulation of behavior
     and (has_quality some 
        (rate
         and (towards some liquid consumption))))",12,http://ebi.ac.uk#Pattern206,0,
,1,,1,"BFO_0000056 some 
    (male courtship behavior
     and (has_quality some dependent continuant))",2,http://ebi.ac.uk#Pattern448,1,
,,,2,"BFO_0000056 some 
    (GO_0042747
     and (has_quality some quality))",3,http://ebi.ac.uk#Pattern205,0,
1,,,,"quality
 and (inheres_in some male courtship behavior, veined wing generated song production)
 and (qualifier some continuant)",2,http://ebi.ac.uk#Pattern447,0,
1,,,,"continuant
 and (inheres_in some oviposition)
 and (qualifier some abnormal)",2,http://ebi.ac.uk#Pattern689,0,
,10,,10,"cutaneous sensation behavior
 and (in_response_to some sensory perception)",11,http://ebi.ac.uk#Pattern204,1,
,15,,15,"BFO_0000056 some 
    (GO_0042756
     and (has_quality some dependent continuant))",16,http://ebi.ac.uk#Pattern446,1,
,,,1,"Thing
 and (in_response_to some sensory perception of taste)",2,http://ebi.ac.uk#Pattern688,0,
,,,10,"cutaneous sensation behavior
 and (in_response_to some system process)",11,http://ebi.ac.uk#Pattern203,0,
,,,1,"BFO_0000056 some 
    ((regulation of drinking behavior
     and (regulates some liquid consumption)
     and (has-input some 
        (PATO_0000145
         and (has_quality some PATO_0001563))))
     and (qualifier some increased quality))",2,http://ebi.ac.uk#Pattern445,0,
,,,1,"BFO_0000056 some 
    (visual behavior
     and (has_quality some continuant))",2,http://ebi.ac.uk#Pattern687,0,
3,,3,,"quality
 and (inheres_in some locomotory behavior)
 and (qualifier some abnormal)",4,http://ebi.ac.uk#Pattern202,2,
,,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (increased frequency
         and (qualifier some PATO_0001863)
         and (towards some behavior))))",2,http://ebi.ac.uk#Pattern444,0,
,,,1,"BFO_0000056 some 
    (behavioral control of defecation
     and (has_quality some continuant))",2,http://ebi.ac.uk#Pattern686,0,
,,,2,"BFO_0000056 some 
    (circadian behavior
     and (has_quality some PATO_0001309))",3,http://ebi.ac.uk#Pattern201,0,
,1,,1,"regulation of drinking preference behavior
 and (has_participant some CHEBI_23982)",2,http://ebi.ac.uk#Pattern443,1,
,,,2,"learning behavior
 and (is_about some emotional behavior)",3,http://ebi.ac.uk#Pattern685,0,
,10,,10,"BFO_0000056 some 
    (somatic sensation related behavior
     and (has_quality some quality))",11,http://ebi.ac.uk#Pattern200,2,
,,,1,"consumption of an addictive substance
 and (has_participant some CHEBI_38295)",2,http://ebi.ac.uk#Pattern442,0,
,,,1,"BFO_0000056 some 
    ((regulation of drinking behavior
     and (regulates some liquid consumption)
     and (has-input some 
        (PATO_0000145
         and (has_quality some Thing))))
     and (qualifier some PATO_0001333))",2,http://ebi.ac.uk#Pattern684,0,
,,,1,"behavior
 and (by_means some irritability behavior)",2,http://ebi.ac.uk#Pattern441,0,
,1,,1,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (increased frequency
         and (qualifier some PATO_0001863)
         and (towards some feeding behavior))))",2,http://ebi.ac.uk#Pattern683,1,
,,,1,"behavior
 and (by_means some vocalization behavior)",2,http://ebi.ac.uk#Pattern440,0,
,,,3,"BFO_0000056 some 
    (sleep
     and (has_quality some process quality))",4,http://ebi.ac.uk#Pattern682,0,
,,,,"BFO_0000056 some 
    ((Thing
     and (regulates some liquid consumption)
     and (has-input some 
        (PATO_0000145
         and (has_quality some PATO_0001563))))
     and (qualifier some PATO_0001333))",1,http://ebi.ac.uk#Pattern461,1,
1,,,,"quality
 and (inheres_in some entrainment of circadian clock by photoperiod)
 and (qualifier some Thing)",2,http://ebi.ac.uk#Pattern460,0,
,,,1,"BFO_0000056 some 
    (regulation of behavior
     and (has_quality some 
        (decreased frequency
         and (qualifier some PATO_0001863)
         and (towards some liquid consumption))))",2,http://ebi.ac.uk#Pattern219,0,
,,,13,"BFO_0000056 some 
    (reproductive behavior
     and (has_quality some continuant))",14,http://ebi.ac.uk#Pattern218,0,
,,,1,"Thing
 and (has_participant some CHEBI_18723)",2,http://ebi.ac.uk#Pattern217,0,
,3,,3,"BFO_0000056 some 
    (regulation of alcohol preference behavior
     and (has_quality some rate))",4,http://ebi.ac.uk#Pattern459,2,
,,,1,"BFO_0000056 some 
    (female sexual activity
     and (has_quality some Thing))",2,http://ebi.ac.uk#Pattern216,0,
,5,,5,"nociceptive behavior
 and (in_response_to some Thing)",6,http://ebi.ac.uk#Pattern458,1,
2,,2,,"quality
 and (inheres_in some behavioral response to nutrient)
 and (qualifier some abnormal)",3,http://ebi.ac.uk#Pattern215,1,
,,,1,"perceptual constancy behavior
 and (is_about some physical quality)",2,http://ebi.ac.uk#Pattern457,0,
,2,,2,regulates some reproductive behavior,3,http://ebi.ac.uk#Pattern699,1,
,,,5,"BFO_0000056 some 
    (Thing
     and (has_quality some decreased rate))",6,http://ebi.ac.uk#Pattern214,0,
,,,3,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (decreased process quality
         and (towards some liquid consumption))))",4,http://ebi.ac.uk#Pattern456,0,
,,,2,"BFO_0000056 some 
    (circadian rhythm
     and (has_quality some PATO_0001309))",3,http://ebi.ac.uk#Pattern698,0,
,,,8,"BFO_0000056 some 
    (Thing
     and (has_quality some increased rate))",9,http://ebi.ac.uk#Pattern213,0,
,,,4,"behavioral response to chemical stimulus
 and (in_response_to some multicellular organismal process)",5,http://ebi.ac.uk#Pattern455,0,
,1,,1,"behavioral control of external secretion
 and (by_means some UBERON_0002365)
 and (is_about some GO_0070075)",2,http://ebi.ac.uk#Pattern697,1,
24,,,,"Thing
 and (inheres_in some behavior)
 and (qualifier some abnormal)",25,http://ebi.ac.uk#Pattern212,0,
1,,,,"quality
 and (inheres_in some hatching behavior)
 and (qualifier some Thing)",2,http://ebi.ac.uk#Pattern454,0,
,,,,"BFO_0000056 some 
    ((regulation of behavior
     and (regulates some liquid consumption)
     and (has-input some 
        (PATO_0000145
         and (has_quality some PATO_0001563))))
     and (qualifier some PATO_0001333))",1,http://ebi.ac.uk#Pattern696,1,
,1,,1,"feeding behavior
 and (has_participant some CHEBI_32111)",2,http://ebi.ac.uk#Pattern211,1,
,,,1,"BFO_0000056 some 
    (antipredation behavior
     and (has_quality some quality))",2,http://ebi.ac.uk#Pattern453,0,
,,,5,"BFO_0000056 some 
    (behavior
     and (has_quality some 
        (increased rate
         and (towards some liquid consumption))))",6,http://ebi.ac.uk#Pattern695,0,
,,,1,"BFO_0000056 some 
    (behavioral control of lacrimation
     and (has_quality some continuant))",2,http://ebi.ac.uk#Pattern210,0,
,1,,1,"behavioral control of excretion
 and (by_means some UBERON_0000078)
 and (is_about some GO_0060073)",2,http://ebi.ac.uk#Pattern452,1,
2,,,,"quality
 and (inheres_in some 
    (mating behavior or (Thing
     and (part_of some mating behavior))))
 and (qualifier some abnormal)",3,http://ebi.ac.uk#Pattern694,0,
,1,,1,"associative learning behavior
 and (is_about some vestibular behavior)",2,http://ebi.ac.uk#Pattern451,1,
,11,,11,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (physical quality of a process
         and (towards some liquid consumption))))",12,http://ebi.ac.uk#Pattern693,1,
,,,1,"associative learning behavior
 and (in_response_to some cognitive behavior)",2,http://ebi.ac.uk#Pattern670,0,
2,,,,"quality
 and (inheres_in some 
    (mating behavior or (biological_process
     and (part_of some mating behavior))))
 and (qualifier some abnormal)",3,http://ebi.ac.uk#Pattern429,0,
,16,,16,"BFO_0000056 some 
    (sensation behavior
     and (has_quality some dependent continuant))",17,http://ebi.ac.uk#Pattern428,1,
,1,,1,"BFO_0000056 some 
    ((regulation of drinking behavior
     and (regulates some liquid consumption)
     and (has-input some 
        (Thing
         and (has_quality some PATO_0001563))))
     and (qualifier some PATO_0001333))",2,http://ebi.ac.uk#Pattern427,1,
,,,1,"regulation of feeding behavior
 and (has_participant some CHEBI_32111)",2,http://ebi.ac.uk#Pattern669,0,
,,,1,"learning and/or memory behavior
 and (is_about some fear-related behavior)",2,http://ebi.ac.uk#Pattern426,0,
,,,2,"BFO_0000056 some 
    (single-organism process
     and (has_quality some frequency))",3,http://ebi.ac.uk#Pattern668,0,
,,,15,"BFO_0000056 some 
    (GO_0042756
     and (has_quality some Thing))",16,http://ebi.ac.uk#Pattern425,0,
,6,,6,"BFO_0000056 some 
    (mating behavior
     and (has_quality some dependent continuant))",7,http://ebi.ac.uk#Pattern667,1,
,,,2,"cognitive behavior
 and (by_means some UBERON_0002105)",3,http://ebi.ac.uk#Pattern424,0,
,,,7,"sensation behavior
 and (is_about some quality)",8,http://ebi.ac.uk#Pattern666,0,
,,,1,"cognitive behavior
 and (by_means some UBERON_0002104)",2,http://ebi.ac.uk#Pattern423,0,
,,,2,"BFO_0000056 some 
    (regulation of drinking behavior
     and (has_quality some 
        (decreased frequency
         and (towards some Thing))))",3,http://ebi.ac.uk#Pattern665,0,
